,phase,p-value
0,-3.141592653589793,0.012061555327344866
1,-2.748893571891069,0.023730391352471753
2,-2.356194490192345,0.37690892217521754
3,-1.9634954084936207,0.37690892217521754
4,-1.5707963267948966,0.03669823381118789
5,-1.1780972450961724,0.023730391352471753
6,-0.7853981633974483,0.1716464651510848
7,-0.3926990816987241,0.28885847108231166
8,0.0,0.06717117158526172
9,0.3926990816987241,0.012061555327344866
10,0.7853981633974483,0.14517410089540636
11,1.178097245096172,0.012061555327344866
12,1.5707963267948966,0.012061555327344866
13,1.9634954084936207,0.21330865597174967
14,2.356194490192345,0.2945923277428688
15,2.7488935718910685,0.28999768987979396
16,3.141592653589793,0.012061555327344866
