phase,NP1,NP15,NP17,NP19,NP21,NP32,NP34,NP36,NP38,NP39,NP43,NP45,NP47,NP5,NP55
0.7707097489004666,0.11452461100280628,0.8596131224831929,0.33629621270509946,0.6447167289020846,0.17789143679986966,0.9632582355613838,0.6678643465189987,0.2573481246481006,0.14760945634646905,0.52653880542737,0.8021442541609172,3.196414952438408e-05,2.4629519624244193e-23,0.3012484301935569,0.28290800718694137
0.7713381302693212,0.11446007277943919,0.8595407552653862,0.33614836000690257,0.6445744375350996,0.17795943835658654,0.9631927159863874,0.667774061654205,0.25732165336031176,0.1474500366457821,0.5263082868366968,0.8020629021251591,3.187630798872255e-05,2.4394110310573785e-23,0.30110518542653714,0.2828468272703132
0.7719665116381762,0.11439557912921487,0.8594683384757386,0.3360005750468398,0.6444321262754086,0.17802746847242637,0.9631271792661991,0.6676837860053736,0.2572951963443469,0.14729075049117413,0.5260777799864275,0.8019815485236946,3.178875217270174e-05,2.4161166597717327e-23,0.3009619543173082,0.2827856610507403
0.7725948930070312,0.1143311300432152,0.8593958721563976,0.3358528578510418,0.6442897952062323,0.17809552713338905,0.9630616254308001,0.6675935196077061,0.2572687536068087,0.14713159788467783,0.5258472850405129,0.8019001933907927,3.1701481082149364e-05,2.3930660895249373e-23,0.3008187369677096,0.2827245085492033
0.7732232743758858,0.11426672551249034,0.8593233563495314,0.3357052084455515,0.6441474444107603,0.1781636143254386,0.9629960545101748,0.6675032624963859,0.2572423251542938,0.14697257882803025,0.5256168021627416,0.8018188367607127,3.161449372651139e-05,2.3702565938352114e-23,0.3006755334794652,0.2826633697866625
0.7738516557447408,0.11420236552805882,0.859250791097329,0.3355576268563241,0.6440050739721516,0.17823173003450304,0.9629304665343092,0.6674130147065784,0.2572159109933919,0.1468136933226732,0.5253863315167394,0.8017374786677053,3.152778911883862e-05,2.3476854783799906e-23,0.300532343954184,0.2826022447840576
0.7744800371135954,0.11413805008090791,0.8591781764420003,0.3354101131092272,0.6438626839735343,0.17829987424647423,0.9628648615331924,0.6673227762734307,0.25718951113068633,0.14665494136975427,0.52515587326597,0.801656119146011,3.144136627577366e-05,2.325350080599155e-23,0.30038916849335967,0.28254113356230853
0.7751084184824504,0.11407377916199313,0.8591055124257755,0.3352626672300403,0.6437202744980057,0.17836804694720831,0.9627992395368151,0.6672325472320717,0.25716312557275395,0.1464963229701269,0.5249254275737336,0.8015747582298612,3.135522421753706e-05,2.303247769303644e-23,0.30024600719837025,0.28248003614231426
0.7757367998513054,0.11400955276223888,0.8590327990909055,0.33511528924445605,0.6435778456286324,0.1784362481225251,0.9627336005751705,0.6671423276176119,0.25713675432616495,0.14633783812435144,0.5246949946031687,0.8014933959534783,3.126936196791464e-05,2.281375944288882e-23,0.3001028601704785,0.282418952544954
0.77636518122016,0.11394537087253832,0.8589600364796621,0.3349679791780795,0.6434353974484496,0.17850447775820827,0.9626679446782542,0.6670521174651443,0.25711039739748315,0.14617948683269552,0.5244645745172504,0.8014120323510748,3.118377855424385e-05,2.2597320359533337e-23,0.2999597275108321,0.28235788279108626
0.776993562589015,0.11388123348375322,0.8588872246343374,0.3348207370564282,0.6432929300404617,0.17857273584000558,0.9626022718760638,0.6669619168097425,0.25708405479326574,0.14602126909513433,0.52423416747879,0.801330667456854,3.1098473007400615e-05,2.238313504921684e-23,0.29981660932046245,0.2822968269015494
0.77762194395787,0.11381714058671422,0.8588143635972441,0.3346735629049325,0.6431504434876418,0.17864102235362847,0.9625365821985994,0.6668717256864629,0.25705772652006337,0.14586318491135164,0.524003773650437,0.8012493013050097,3.101344436178628e-05,2.2171178416731386e-23,0.2996735057002859,0.2822357848971614
0.7782503253267246,0.11375309217222114,0.8587414534107153,0.334526456748936,0.6430079378729321,0.17870933728475225,0.9624708756758631,0.6667815441303432,0.25703141258442025,0.14570523428074025,0.5237733931946769,0.8011679339297262,3.092869165531475e-05,2.1961425661742693e-23,0.2995304167511031,0.28217475679872017
0.7788787066955796,0.11368908823104255,0.8586684941171046,0.3343794186136947,0.642865413279243,0.17877768061901586,0.9624051523378591,0.6666913721764028,0.25700511299287415,0.14554741720240214,0.5235430262738314,0.8010865653651784,3.084421392939891e-05,2.1753852275166347e-23,0.29938734257359834,0.2821137426270029
0.7795070880644341,0.11362512875391623,0.858595485758786,0.33423244852437817,0.6427228697894541,0.1788460523420222,0.962339412214594,0.666601209859643,0.25697882775195613,0.14538973367514982,0.5233126730500596,0.801005195645532,3.076001022893824e-05,2.1548434035589764e-23,0.29924428326834107,0.2820527424027669
0.7801354694332892,0.11356121373154894,0.8585224283781536,0.3340855465060686,0.6425803074864131,0.17891445243933776,0.9622736553360763,0.6665110572150467,0.25695255686819085,0.14523218369750612,0.523082333685356,0.8009238248049424,3.067607960230538e-05,2.134514700573973e-23,0.2991012389357839,0.28199175614674876
0.7807638508021442,0.11349734315461692,0.8584493220176223,0.3339387125837617,0.6424377264529367,0.1789828808964927,0.962207881732317,0.6664209142775784,0.25692630034809655,0.14507476726770527,0.5228520083415519,0.8008424528775563,3.05924211013336e-05,2.1143967528997e-23,0.2989582096762643,0.28193078387966514
0.7813922321709987,0.11343351701376563,0.8583761667196267,0.3337919467823666,0.6422951267718098,0.17905133769898077,0.9621420914333287,0.6663307810821848,0.25690005819818484,0.1449174843836934,0.5226216971803148,0.8007610798975104,3.0509033781303755e-05,2.094487222595244e-23,0.29881519559000336,0.28186982562221224
0.7820206135398537,0.11336973529960966,0.8583029625266222,0.3336452491267057,0.6421525085257854,0.17911982283225966,0.9620762844691266,0.6662406576637938,0.25687383042496087,0.14476033504312866,0.5223914003631478,0.8006797058989322,3.0425916700931538e-05,2.0747837991008314e-23,0.29867219677710605,0.2818088813950658
0.7826489949087088,0.1133059980027333,0.8582297094810838,0.3334986196415146,0.6420098717975854,0.17918833628175004,0.9620104608697276,0.666150544057315,0.25684761703492337,0.14460331924338246,0.52216111805139,0.8005983309159395,3.034306892235472e-05,2.055284198902381e-23,0.29852921333756155,0.28174795121888174
0.7832773762775633,0.11324230511369031,0.8581564076255072,0.33335205835144316,0.6418672166698995,0.17925687803283682,0.9619446206651509,0.66606044029764,0.25682141803456443,0.14444643698153978,0.5219308504062168,0.8005169549826402,3.0260489511120693e-05,2.0359861652002626e-23,0.2983862453712426,0.2816870351142954
