NP_code,Model,bins,fpr,tpr
NP21,IEA Cycle-Based Model,-0.1,0.0,0.0
NP21,IEA Cycle-Based Model,0.0,0.03300031466331026,0.03707951070336391
NP21,FC-Based Model,0.0,0.053858178200937905,0.06283910427148072
NP21,Shuffled Baseline,0.0,0.05308233233917969,0.03875814386384789
NP21,FC-Based Model,0.1,0.14770904809273433,0.18235178060570187
NP21,Shuffled Baseline,0.1,0.1484559796879408,0.1388273753031741
NP21,IEA Cycle-Based Model,0.1,0.11369834277323265,0.08817533129459736
NP21,FC-Based Model,0.2,0.2522505267190193,0.297034968754155
NP21,IEA Cycle-Based Model,0.2,0.24657016991818753,0.1908256880733945
NP21,Shuffled Baseline,0.2,0.24505485013388614,0.2285782814654914
NP21,Shuffled Baseline,0.3,0.3476130540321855,0.3180428134556575
NP21,IEA Cycle-Based Model,0.3,0.36154814348646946,0.2842860503410962
NP21,FC-Based Model,0.3,0.35041586583436807,0.41639804942557235
NP21,Shuffled Baseline,0.4,0.4498494718759036,0.4404082982064634
NP21,FC-Based Model,0.4,0.44534540349518326,0.540519877675841
NP21,IEA Cycle-Based Model,0.4,0.4400946160022569,0.36475798797848785
NP21,FC-Based Model,0.5,0.548028109922383,0.6352701325178389
NP21,Shuffled Baseline,0.5,0.5443989930774071,0.5370030581039755
NP21,IEA Cycle-Based Model,0.5,0.5240192993496958,0.441131498470948
NP21,Shuffled Baseline,0.6,0.6476176942284658,0.6385518397948111
NP21,IEA Cycle-Based Model,0.6,0.6609844857307029,0.6105571067677171
NP21,FC-Based Model,0.6,0.6487098804279421,0.7188073394495412
NP21,FC-Based Model,0.7,0.7455201881355371,0.7831965234186383
NP21,Shuffled Baseline,0.7,0.7510036674551334,0.7522935779816513
NP21,IEA Cycle-Based Model,0.7,0.7440873748959581,0.7300976620301864
NP21,IEA Cycle-Based Model,0.8,0.8488932060087011,0.816779683552719
NP21,Shuffled Baseline,0.8,0.8432008520114247,0.8577393554457775
NP21,FC-Based Model,0.8,0.8361303405356268,0.8458205912334352
NP21,FC-Based Model,0.9,0.9541436931140397,0.9425806746086083
NP21,Shuffled Baseline,0.9,0.9543182911931293,0.9588655033878996
NP21,IEA Cycle-Based Model,0.9,0.9500400480576693,0.9316096747289407
NP36,IEA Cycle-Based Model,-0.1,0.0,0.0016556291390728477
NP36,Shuffled Baseline,-0.1,0.0,0.0
NP36,FC-Based Model,-0.1,0.0,0.0
NP36,FC-Based Model,0.0,0.04298974108451392,0.05953066513101065
NP36,IEA Cycle-Based Model,0.0,0.02975529599857885,0.02994529225453498
NP36,Shuffled Baseline,0.0,0.04796470562667072,0.04375088065379738
NP36,IEA Cycle-Based Model,0.1,0.1415985699693565,0.13838300220750552
NP36,FC-Based Model,0.1,0.1550298197634189,0.1966460158085879
NP36,Shuffled Baseline,0.1,0.15555231285568363,0.13718070009460737
NP36,IEA Cycle-Based Model,0.2,0.25427306775621383,0.2664459161147903
NP36,FC-Based Model,0.2,0.25059584610146407,0.33167770419426046
NP36,Shuffled Baseline,0.2,0.24582907728975145,0.2230368968779565
NP36,Shuffled Baseline,0.3,0.3530132788559755,0.3048841059602649
NP36,FC-Based Model,0.3,0.35382314314898583,0.46972563859981076
NP36,IEA Cycle-Based Model,0.3,0.34162410623084777,0.3210264900662252
NP36,FC-Based Model,0.4,0.4574055158324821,0.570612582781457
NP36,IEA Cycle-Based Model,0.4,0.4463738508682329,0.38711619506321493
NP36,Shuffled Baseline,0.4,0.44273067756213824,0.41330022075055184
NP36,FC-Based Model,0.5,0.5561797752808989,0.6526490066225166
NP36,Shuffled Baseline,0.5,0.5381584707427404,0.521917376222012
NP36,IEA Cycle-Based Model,0.5,0.5419645897173987,0.5008278145695364
NP36,IEA Cycle-Based Model,0.6,0.6509703779366701,0.5996688741721854
NP36,Shuffled Baseline,0.6,0.6519918283963227,0.6005794701986755
NP36,FC-Based Model,0.6,0.6456768611428229,0.7271133619010518
NP36,Shuffled Baseline,0.7,0.7473369327301912,0.7241012298959318
NP36,IEA Cycle-Based Model,0.7,0.7552896541660586,0.6915799432355724
NP36,FC-Based Model,0.7,0.7600272386789241,0.7950331125827815
NP36,IEA Cycle-Based Model,0.8,0.8634661218930882,0.8348785871964679
