,AUC
NP1,0.7035822396420552
NP15,0.6585146820531085
NP17,0.7175818031021193
NP19,0.6728625165036962
NP21,0.6474212428633367
NP32,0.7902959491786068
NP34,0.6302606975060332
NP36,0.556971501206783
NP38,0.831121453838277
NP39,0.7540075653949766
NP43,0.6518031581302058
NP45,0.9284157590341102
NP47,0.9566250876215469
NP5,0.713544338017844
NP55,0.5957308335230431
